code,title,domain,themes,intent,severity,source
1888948,Transform negative into positive,protection,psychic-overwhelm,Listed in the source compilation for transform negative into positive.,2,community
4148188,Transforming time into money,money,earning-expansion,Listed in the source compilation for transforming time into money.,2,community
5148517,Twists / Sprains,health,structural-strain,"Listed in the source compilation for twists / Sprains. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
39119488061,Understanding,spiritual,transformation-pressure,Listed in the source compilation for understanding.,2,community
520,Unexpected Money,money,unexpected-expense,Listed in the source compilation for unexpected Money.,2,community
978316918 717,Verbal aggression,spiritual,transformation-pressure,Listed in the source compilation for verbal aggression.,2,community
498716988 079,Vitality,health,vitality-depletion,"Listed in the source compilation for vitality. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
8980 719 88 091,Weakness,spiritual,transformation-pressure,Listed in the source compilation for weakness.,2,community
8887184321,Weather condition protection,protection,boundary-erosion,Listed in the source compilation for weather condition protection.,2,community
5148123,"Well-Being, Joy (stimulating serotonin in the brain)",spiritual,transformation-pressure,"Listed in the source compilation for well-Being, Joy (stimulating serotonin in the brain).",2,community
5148912,Wounds,health,recovery-convalescence,"Listed in the source compilation for wounds. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
4548512,Wry neck,health,structural-strain,"Listed in the source compilation for wry neck. Work with it for the stretch of time you are in, alongside medical care rather than instead of it.",3,community
